Первая главная компонента,Вторая главная компонента,Кластер
-0.21048764560484767,0.36722723813408,0
-0.34052498010375215,-0.2306077294814219,0
-0.2438666624329254,-0.12028174436002174,0
-0.1511421317465173,0.055013607035010695,0
-0.012243479312076236,0.06888589137746724,0
-0.06674421725771416,-0.30605087094046346,0
-0.025047260531619337,0.36960321518804123,0
-0.1525703494523925,-0.16247282761862905,0
-0.24030260314587604,0.2626103685288343,0
-0.16280773754901473,0.3624293783652769,0
-0.06893129382650502,-0.013870913710610286,0
-0.08087265775523593,-0.444251515231496,0
-0.12753294667091392,-0.19600959059340037,0
-0.2081589728027559,-0.2155358948205837,0
0.030387644119225548,-0.179961807496666,0
0.06464017781437872,-0.2409907679560943,0
-0.19103120577328794,-0.00568594138011385,0
-0.17393027938446,0.31924655859933415,0
-0.024246185733839302,-0.2899931277978278,0
-0.2063556637933657,0.04526867714036095,0
-0.14746714280968518,0.00581117388752402,0
-0.19349995231023742,0.11736355916113157,0
-0.19446656738379145,0.2752955468469092,0
-0.03685811929150538,-0.37003106412118947,0
-0.3202993617557531,-0.2357425122850612,0
-0.27503833716283294,-0.11585508461648535,0
-0.3433684352297506,0.09004820700742597,0
0.08102780222745015,-0.2670485263187779,0
-0.18364372570603657,-0.03192991208234413,0
-0.17349016212228016,0.047216834604458705,0
-0.19085253261752164,0.04346407652665807,0
-0.14881282953379418,0.23198097792349764,0
-0.12820120430415177,0.361364797160041,0
-0.28312109480152187,-0.044090814017880633,0
-0.08305014618892821,-0.3418710910332103,0
-0.11024027531021119,0.3919470780442227,0
-0.1138809089726492,-0.30760744465749246,0
-0.2412340309331789,-0.27995655587581425,0
-0.3136531283521362,0.18783407133446237,0
-0.20454647688848004,-0.10737795277816076,0
-0.23589252870473976,0.29508820899650273,0
0.04451398063966435,-0.2169638230912277,0
-0.011265339054166443,-0.16111733124231023,0
-0.16019473237791543,0.12639947637325252,0
-0.13235561917649963,0.385800181723252,0
-0.02809627748015708,-0.4350717372588384,0
-0.19634512177824948,0.04627692456893412,0
0.06856238441188123,-0.3333094276325157,0
-0.2149424326171801,-0.14588069856502095,0
0.004946128473217369,-0.23193057327915767,0
-0.03237875292656968,-0.22768857776655188,0
-0.09194995588042941,0.2667779260518897,0
-0.06721938188263224,0.12226001197812676,0
-0.03854918228265488,0.03680198552609586,0
-0.18583824491091064,0.0013689870437269746,0
-0.1443200200022671,0.4160632818845112,0
0.015301700147840437,-0.030685402693187896,0
-0.2650847677336338,0.30188349771533407,0
0.011088229260265032,-0.2045673555716425,0
-0.17478562442670573,-0.15187603216795184,0
-0.019843746307523905,-0.3684958963400145,0
-0.17832588889862952,-0.20481377315030758,0
